Flow Rate (GPM) - Mean,2.974415,-0.007279,0.000000,2.978097,-0.007529,0.000000,2.975755,0.063070,0.000000,2.941094,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Standard Deviation,0.026952,NaN,NaN,0.029508,NaN,NaN,0.032361,NaN,NaN,0.194834,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Variance,0.000726,NaN,NaN,0.000871,NaN,NaN,0.001047,NaN,NaN,0.037960,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Max,2.988157,-0.007279,0.000000,2.994283,-0.007529,0.000000,2.998818,0.063070,0.000000,2.979547,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Min,1.680744,-0.007279,0.000000,1.681616,-0.007529,0.000000,1.566726,0.063070,0.000000,1.579101,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Max,49.445758,49.446995,49.446995,40.194897,40.195967,40.195967,39.981245,39.982023,39.982023,1.915164,1.916033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Min,0.797111,49.446995,49.446995,0.776542,40.195967,40.195967,0.778014,39.982023,39.982023,0.776880,1.916033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Mean,114.855097,94.800000,94.800000,118.675736,107.100000,107.100000,118.274478,106.600000,106.600000,108.081699,105.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Standard Deviation,8.121720,NaN,NaN,4.020802,NaN,NaN,4.067494,NaN,NaN,0.733282,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Variance,65.962337,NaN,NaN,16.166847,NaN,NaN,16.544507,NaN,NaN,0.537703,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Max,121.733333,94.800000,94.800000,122.200000,107.100000,107.100000,121.700000,106.600000,106.600000,109.200000,105.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Min,94.866667,94.800000,94.800000,107.100000,107.100000,107.100000,106.600000,106.600000,106.600000,106.100000,105.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Mean,55.972856,55.900000,55.900000,55.835796,55.800000,55.800000,56.247407,56.300000,56.300000,55.600000,55.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Standard Deviation,0.074568,NaN,NaN,0.050258,NaN,NaN,0.070263,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Variance,0.005560,NaN,NaN,0.002526,NaN,NaN,0.004937,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Max,56.100000,55.900000,55.900000,56.000000,55.800000,55.800000,56.400000,56.300000,56.300000,55.600000,55.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Min,55.800000,55.900000,55.900000,55.700000,55.800000,55.800000,56.100000,56.300000,56.300000,55.600000,55.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinet (°F) - Mean,68.355380,68.400000,68.400000,68.210667,68.100000,68.100000,67.963434,68.700000,68.700000,69.000000,69.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambient (°F) - Standard Deviation,0.045528,NaN,NaN,0.087376,NaN,NaN,0.267120,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Variance,0.002073,NaN,NaN,0.007635,NaN,NaN,0.071353,NaN,NaN,0.000000,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Max,68.400000,68.400000,68.400000,68.300000,68.100000,68.100000,68.700000,68.700000,68.700000,69.000000,69.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Min,68.300000,68.400000,68.400000,68.100000,68.100000,68.100000,67.600000,68.700000,68.700000,69.000000,69.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Mean,56.224825,55.933333,55.900000,56.089116,56.200000,56.233333,56.504108,57.300000,57.266667,55.858824,55.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Standard Deviation,0.167026,NaN,NaN,0.188742,NaN,NaN,0.196853,NaN,NaN,0.188867,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Variance,0.027898,NaN,NaN,0.035624,NaN,NaN,0.038751,NaN,NaN,0.035671,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Max,56.800000,55.933333,55.900000,56.666667,56.200000,56.233333,57.366667,57.300000,57.266667,56.166667,55.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Min,55.700000,55.933333,55.900000,55.400000,56.200000,56.233333,55.833333,57.300000,57.266667,55.466667,55.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Mean,113.775553,92.900000,92.800000,117.885056,103.200000,103.000000,117.438283,102.766667,102.666667,104.081046,102.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Standard Deviation,9.228636,NaN,NaN,5.203188,NaN,NaN,5.123179,NaN,NaN,0.466393,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Variance,85.167719,NaN,NaN,27.073169,NaN,NaN,26.246959,NaN,NaN,0.217522,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Max,122.200000,92.900000,92.800000,122.500000,103.200000,103.000000,122.066667,102.766667,102.666667,104.966667,102.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Min,93.033333,92.900000,92.800000,103.500000,103.200000,103.000000,102.800000,102.766667,102.666667,102.900000,102.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Mean,108.158037,87.566667,87.433333,112.922550,94.500000,94.500000,112.401263,93.800000,93.566667,94.822876,94.466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Standard Deviation,11.537703,NaN,NaN,8.266571,NaN,NaN,8.177689,NaN,NaN,0.144759,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Variance,133.118582,NaN,NaN,68.336196,NaN,NaN,66.874602,NaN,NaN,0.020955,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Max,120.000000,87.566667,87.433333,120.000000,94.500000,94.500000,120.000000,93.800000,93.566667,95.233333,94.466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Min,87.700000,87.566667,87.433333,94.433333,94.500000,94.500000,94.000000,93.800000,93.566667,94.600000,94.466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Mean,100.325890,81.066667,81.000000,105.042004,84.600000,84.600000,104.575909,85.500000,85.400000,87.132026,88.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Standard Deviation,14.476572,NaN,NaN,12.840508,NaN,NaN,12.553697,NaN,NaN,0.594679,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Variance,209.571135,NaN,NaN,164.878650,NaN,NaN,157.595308,NaN,NaN,0.353643,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Max,119.400000,81.066667,81.000000,120.000000,84.600000,84.600000,119.866667,85.500000,85.400000,88.733333,88.933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
