Flow Rate (GPM) - Mean,0,0,2.997535,0,2.996463,0,3.00133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Standard Deviation,NaN,NaN,0.062843,NaN,0.118725,NaN,0.01809,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Variance,NaN,NaN,0.003949,NaN,0.014096,NaN,0.000327,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Max,0,0,3.016,0,3.039,0,3.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow Rate (GPM) - Min,0,0,0,0,0,0,2.601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Max,0,0,45.633,45.633,14.156,14.156,14.058,14.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallons (Gal) - Min,0,0,0.784,45.633,0.764,14.156,0.778,14.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Mean,72.610001,72.610001,121.353921,108.133334,118.976442,104.373332,118.609269,104.740003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Standard Deviation,NaN,NaN,3.155037,NaN,3.67974,NaN,3.703315,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Variance,NaN,NaN,9.954261,NaN,13.540488,NaN,13.714545,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Max,72.610001,72.610001,124.110001,108.133334,121.589996,104.373332,121.219999,104.740003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Out (°F) - Min,72.610001,72.610001,108.383334,108.133334,104.753334,104.373332,105.016668,104.740003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Mean,80.92653,81.060815,58.045445,58.18,58.078314,58.09551,58.022001,58.038162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Standard Deviation,NaN,NaN,0.088109,NaN,0.025835,NaN,0.014523,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Variance,NaN,NaN,0.007763,NaN,0.000667,NaN,0.000211,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Max,80.92653,81.060815,58.179184,58.18,58.135918,58.09551,58.048775,58.038162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD In (°F) - Min,80.92653,81.060815,57.830612,58.18,58.029999,58.09551,57.983878,58.038162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinet (°F) - Mean,67.580202,67.58061,67.829356,67.593671,68.070261,68.02755,67.966633,67.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambient (°F) - Standard Deviation,NaN,NaN,0.085494,NaN,0.018405,NaN,0.018535,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Variance,NaN,NaN,0.007309,NaN,0.000339,NaN,0.000344,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Max,67.580202,67.58061,67.906329,67.593671,68.099998,68.02755,67.996938,67.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambinent (°F) - Min,67.580202,67.58061,67.590405,67.593671,68.031632,68.02755,67.940002,67.940002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Mean,71.871304,71.858434,57.298487,57.474409,57.393363,57.429438,57.406363,57.485355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Standard Deviation,NaN,NaN,0.103912,NaN,0.027543,NaN,0.043123,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Variance,NaN,NaN,0.010798,NaN,0.000759,NaN,0.00186,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Max,71.871304,71.858434,57.453106,57.474409,57.446154,57.429438,57.479586,57.485355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Down (°F) - Min,71.871304,71.858434,57.082692,57.474409,57.32574,57.429438,57.343787,57.485355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Mean,123.966667,123.933334,120.053048,95.633334,113.948211,83.5,113.651056,83.533335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Standard Deviation,NaN,NaN,5.292496,NaN,9.785018,NaN,9.666515,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Variance,NaN,NaN,28.010509,NaN,95.746579,NaN,93.441522,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Max,123.966667,123.933334,124.099998,95.633334,121.333336,83.5,120.900002,83.533335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1 (°F) - Min,123.966667,123.933334,96.699999,95.633334,84.899999,83.5,84.866666,83.533335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Mean,123.900002,123.900002,113.194651,67.599998,84.743149,63.900002,83.665587,61.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Standard Deviation,NaN,NaN,17.151305,NaN,21.863579,NaN,22.449651,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Variance,NaN,NaN,294.167249,NaN,478.016107,NaN,503.986844,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Max,123.900002,123.900002,124.099998,67.599998,119.699997,63.900002,119.699997,61.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2 (°F) - Min,123.900002,123.900002,67.633331,67.599998,63.799999,63.900002,61.900002,61.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Mean,123.699997,123.699997,102.793011,64.199997,62.884969,62,61.368287,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Standard Deviation,NaN,NaN,24.931345,NaN,0.623341,NaN,0.416667,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Variance,NaN,NaN,621.571968,NaN,0.388554,NaN,0.173611,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Max,123.699997,123.699997,124,64.199997,63.799999,62,61.900002,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3 (°F) - Min,123.699997,123.699997,64.233332,64.199997,62,62,60.5,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
