System Date,System Time,Elapsed Time (sec),,Software Elapsed Time (sec),Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - HI1,Pressure - HI2,Pressure - LOW,Pressure - PIN,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,T2-13,T3-18,Absolute Pressure [inHgA],Gauge/Diff. Pressure [inHgG],BarometricPressure [inHgA],Temperature [°F],Uncorrected [CFH],Corrected [SCFH],Gas Rate (BTU/hr),Heating Value (BTU/ft³),Energy (BTU),Totalizer [Sft3],Gas Selected,Thermal Efficiency (%)
9/25/2020,29:42.3,6354.65,35,12375.55,Heating Tanks.... ,113.783,57.9,58.8,124.9,69.8,0.004,0,0.002,0.001,0.002,0.002,0,8.345,59.395,0.032,385.975,46.262,6.632,151.619,0,0.004,0,0,124.2,121.8,116.2,107.5,106.5,106.5,0,1,0,0,0,193.779,68.848,30.18,0.76,29.42,71.37,39.09,38.491,40973.28459,1064.49,43625.99367,40.983,NatG-1,
9/25/2020,29:45.3,6357.65,38,12378.57,Heating Tanks.... ,113.867,57.9,58.8,124.8,69.8,0.004,0,0.003,0.002,0.002,0.002,0,8.345,59.409,0.032,385.975,46.262,6.631,151.619,0,0.004,0,0,124.1,121.8,116.3,107.7,106.9,106.4,0,1,0,0,0,194.764,68.848,30.18,0.76,29.42,71.37,39.024,38.428,40906.22172,1064.49,43658.99286,41.014,NatG-1,
9/25/2020,29:48.3,6360.65,41,12381.56,Heating Tanks.... ,113.8,57.9,58.8,124.8,69.8,0.004,0,0.002,0.001,0.002,0.002,0,8.345,59.48,0.032,385.975,46.262,6.624,151.619,0,0.004,0,0,124.2,121.8,116.2,107.5,106.9,106.2,0,1,0,0,0,195.678,68.872,30.19,0.77,29.42,71.36,39.037,38.434,40912.60866,1064.49,43694.12103,41.047,NatG-1,
9/25/2020,29:51.3,6363.65,44,12384.58,Heating Tanks.... ,113.95,57.9,58.8,124.7,69.8,0.004,0,0.002,0.002,0.002,0.002,0,8.345,59.482,0.032,385.975,46.262,6.625,151.619,0,0.004,0,0,124.4,121.8,116,108,107.2,106.3,0,1,0,0,0,196.688,68.877,30.19,0.77,29.42,71.36,39.021,38.425,40903.02825,1064.49,43727.12022,41.078,NatG-1,
9/25/2020,29:54.3,6366.65,47,12387.56,Heating Tanks.... ,113.967,57.8,58.8,124.6,69.8,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.519,0.032,385.975,46.262,6.632,151.619,0,0.004,0,0,124.5,121.8,115.7,108,107.3,106.5,0,1,0,0,0,197.678,68.895,30.18,0.76,29.421,71.36,38.941,38.348,40821.06252,1064.49,43762.24839,41.111,NatG-1,
9/25/2020,29:57.3,6369.65,50,12390.57,Heating Tanks.... ,114.067,57.9,58.8,124.5,69.7,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.543,0.032,385.975,46.262,6.618,151.618,0,0.004,0,0,124.6,121.9,115.6,108.3,107.4,106.6,0,1,0,0,0,198.477,68.819,30.19,0.77,29.421,71.36,38.984,38.388,40863.64212,1064.49,43795.24758,41.142,NatG-1,
9/25/2020,30:00.3,6372.65,53,12393.58,Heating Tanks.... ,114.25,57.9,58.8,124.4,69.7,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.575,0.032,385.975,46.262,6.629,151.618,0,0.004,0,0,124.7,121.9,116.2,108.6,107.6,106.5,0,1,0,0,0,199.528,68.807,30.18,0.76,29.42,71.36,38.928,38.338,40810.41762,1064.49,43829.31126,41.174,NatG-1,
9/25/2020,30:03.3,6375.65,56,12396.58,Heating Tanks.... ,114.417,57.8,58.8,124.3,69.7,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.592,0.032,385.975,46.262,6.626,151.618,0,0.004,0,0,124.6,121.9,116.7,108.8,107.8,106.7,0,1,0,0,0,200.522,68.812,30.18,0.76,29.421,71.36,38.872,38.279,40747.61271,1064.49,43863.37494,41.206,NatG-1,
9/25/2020,30:06.3,6378.65,59,12399.58,Heating Tanks.... ,114.467,57.9,58.8,124.3,69.7,0.004,0,0.002,0.001,0.002,0.002,0,8.344,59.65,0.032,385.975,46.262,6.632,151.617,0,0.004,0,0,124.6,121.9,116.8,108.9,107.9,106.7,0,1,0,0,0,201.242,68.749,30.18,0.76,29.42,71.36,38.852,38.259,40726.32291,1064.49,43897.43862,41.238,NatG-1,
9/25/2020,30:09.3,6381.65,62,12402.55,Heating Tanks.... ,114.517,57.9,58.8,124.2,69.6,0.004,0,0.002,0.002,0.002,0.002,0,8.344,59.671,0.032,385.975,46.262,6.622,151.617,0,0.004,0,0,124.6,121.9,116.7,109,107.7,107.2,0,1,0,0,0,202.183,68.76,30.18,0.76,29.42,71.36,38.865,38.276,40744.41924,1064.49,43930.43781,41.269,NatG-1,
