Date,Time,Time (Seconds),Ambient Temp (F),Chamber Temp (F),Active Bin number based on ambient temp,LDO algorithm state,time in hours,time in minutes,BIN 0 Avg Temp,BIN 1 Avg Temp,BIN 2 Avg Temp,BIN 3 Avg Temp,Tmax temp (F),Tstart temp (F),IGN State,LDO Flags,LDO Trigger Temperature
7/17/2024,51:15.1,0,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Interpurge,No Errors,50
7/17/2024,51:20.1,5.008,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Interpurge,No Errors,50
7/17/2024,51:25.1,10,76,72,60-80 BIN 1,Cooling,0,1,,,,,,73,Interpurge,No Errors,50
7/17/2024,51:30.8,15.733,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Interpurge,No Errors,50
7/17/2024,51:35.0,19.966,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Interpurge,No Errors,50
7/17/2024,51:40.5,25.438,76,72,60-80 BIN 1,Cooling,0,1,,,,,,73,Leakage Detection after Interpurge,No Errors,50
7/17/2024,51:45.0,29.949,76,72,60-80 BIN 1,Cooling,0,1,,,,,,73,Prepurge,No Errors,50
7/17/2024,51:50.2,35.157,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Prepurge,No Errors,50
7/17/2024,51:55.5,40.389,76,73,60-80 BIN 1,Cooling,0,1,,,,,,73,Trial for Ignition,No Errors,50
7/17/2024,52:01.6,46.548,76,73,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:05.2,50.164,77,73,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:10.0,54.923,77,74,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:15.0,59.92,77,75,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:20.0,64.901,77,76,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:25.0,69.917,77,76,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:29.9,74.87,77,77,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:34.9,79.88,77,78,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:39.9,84.86,77,78,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:44.9,89.824,77,79,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:49.9,94.819,77,80,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:54.9,99.836,77,81,60-80 BIN 1,Warming,0,0,,,,,,73,Running,No Errors,50
7/17/2024,52:59.9,104.786,77,82,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:04.8,109.764,77,83,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:09.8,114.739,77,83,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:14.8,119.728,77,85,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:19.8,124.692,77,85,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:24.7,129.677,77,87,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:29.8,134.688,78,87,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:34.8,139.69,78,89,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:39.8,144.69,78,90,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:44.7,149.668,78,91,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
7/17/2024,53:49.7,154.62,78,92,60-80 BIN 1,Warming,0,1,,,,,,73,Running,No Errors,50
