Version: ,2.15.1031.19, , , ,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Test Report, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Procedure,DOE UEF 24h (Storage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Name:,UEFSIMgasST-3-GE3-1105.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Start Date & Time:,7/16/2020 8:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name:,UEFSIMgasST-3-GE3-1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Ashley Cocita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station and Location: ,Cleveland - 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer:,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model Number:,40T-12BXR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number:,PROTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UEF Water Heater Type:,High-Usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heating Method:,Nat/LP gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Heater Description:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vst:,38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predraws Selected: ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermocouple Tree: ,Hulk Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Probe 1,Probe 2,Probe 3,Probe 4,,,Probe 5,,Probe 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probe Heights: ,0,0,0,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Elapsed Time,Message,Burner/Lower Element,,Burner/Lower Element,Upper Element,Upper Element Corey,Total Uncorr. Gas Cons.,Total Corr. Gas Cons,Total Corr. Gas Cons Corey,Gas Rate (BTU/hr),Q Gas,Q Gas Corey,Q Elec,Q Elec Corey,Q Total,Q Total Corey,Total Water Cons. @Outlet,Water Flow Rate @Outlet,Water Flow Rate @Inlet,Total Water Cons. @Inlet,Total Water Cons. @Inlet Corey,Mean Tank Temp,Max Mean Tank Temp,Voltage,Current,Watts,Watt-Hours,Inlet Temp,Outlet Temp,Ambient Temp,Probe 1,Probe 2,Probe 3,Probe 4,Probe 5,Probe 6,Gas Temp,Barometer,Gas Meter Pressure,Manifold Pressure,High Flow Water Reg.,Humidity,Oil Heating Value,Water Scale Factor,Gas Scale Factor,Gas CF,Delta,Water Press.,Inlet,Outlet,Oil Scale Factor,Bypass Valve,Oil Heating Value,HV Type Selected,Tohx,Comb. Air Temp,Mean Tank Temp (60s Avg),
7/16/2020,8:07:38,0,Test Start,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.222,3.005,3,27.176,0,123.892,123.938,0,0,0,1369,57.655,73.729,67.696,123.878,124.021,123.959,123.86,123.807,123.827,68.112,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,16.074,70.312,-99993.619,-100030.44,500000,ON,1062.8,Oil,-100030.44,-100030.44,123.893,0.045
7/16/2020,8:07:38,0.2,Draw Start 1,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.232,3.008,3.003,27.186,0.01,123.891,123.938,0,0,0,1369,57.655,73.729,67.696,123.872,124.022,123.956,123.866,123.802,123.825,68.112,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,16.074,70.312,-99993.06,-100029.811,500000,OFF,1062.8,Oil,-100029.811,-100029.811,123.893,0.045
7/16/2020,8:07:43,5.2,Draw 1,OFF,,0,OFF,0,24.276,23.84,0,0,25812.912,0,4671.222,0,30484.134,0,27.481,2.978,2.968,27.434,0.258,123.899,123.938,0,0,0,1369,57.657,97.944,67.695,123.879,124.044,123.974,123.867,123.808,123.823,68.111,29.194,10.811,0,0.008,0,1081.612,5000,250,0.984,40.287,70.4,-99995.819,-100032.596,500000,OFF,1062.8,Oil,-100032.596,-100032.596,123.892,0.046
7/16/2020,8:07:46,8.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.631,2.998,2.972,27.582,0.406,123.859,123.938,0,0,0,1369,57.663,118.045,67.694,123.887,124.029,123.969,123.878,123.81,123.583,68.109,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,60.382,70.417,-99996.077,-100032.808,500000,OFF,1062.8,Oil,-100032.808,-100032.808,123.89,0.048
7/16/2020,8:07:49,11.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.78,2.992,2.96,27.73,0.554,123.883,123.938,0,0,0,1369,57.668,122.188,67.698,123.892,124.006,123.977,123.87,123.792,123.758,68.107,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,64.52,70.434,-99994.691,-100031.386,500000,OFF,1062.8,Oil,-100031.386,-100031.386,123.889,0.049
7/16/2020,8:07:52,14.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,27.93,2.99,2.956,27.878,0.702,123.882,123.938,0,0,0,1369,57.68,123.082,67.699,123.875,124.026,123.977,123.857,123.736,123.821,68.108,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,65.402,70.413,-99994.407,-100031.142,500000,OFF,1062.8,Oil,-100031.142,-100031.142,123.888,0.05
7/16/2020,8:07:55,17.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.079,2.99,2.956,28.026,0.85,123.611,123.938,0,0,0,1369,57.671,123.281,67.699,123.891,124.031,123.974,123.88,122.473,123.414,68.105,29.194,10.813,0,0.008,0,1081.612,5000,250,0.984,65.61,70.473,-99995.302,-100032.022,500000,OFF,1062.8,Oil,-100032.022,-100032.022,123.881,0.057
7/16/2020,8:07:58,20.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.228,2.967,2.933,28.173,0.997,123.29,123.938,0,0,0,1369,57.669,123.407,67.703,123.874,124.032,123.974,123.863,121.32,122.673,68.106,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,65.738,70.508,-99993.72,-100030.41,500000,OFF,1062.8,Oil,-100030.41,-100030.41,123.857,0.081
7/16/2020,8:08:01,23.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.377,2.986,2.952,28.32,1.144,123.18,123.938,0,0,0,1369,57.671,123.46,67.702,123.871,124.042,124.003,123.868,121.418,121.875,68.105,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,65.789,70.461,-99996.347,-100033.011,500000,OFF,1062.8,Oil,-100033.011,-100033.011,123.826,0.112
7/16/2020,8:08:04,26.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.527,2.99,2.956,28.468,1.292,122.804,123.938,0,0,0,1369,57.682,123.494,67.704,123.865,124.008,123.969,123.759,121.604,119.619,68.104,29.194,10.812,0,0.008,0,1081.612,5000,250,0.984,65.812,70.455,-99994.38,-100031.139,500000,OFF,1062.8,Oil,-100031.139,-100031.139,123.78,0.158
7/16/2020,8:08:07,29.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.677,3.01,2.976,28.617,1.441,122.449,123.938,0,0,0,1369,57.674,123.513,67.707,123.861,124.033,123.945,123.571,121.671,117.614,68.103,29.194,10.813,0,0.008,0,1081.612,5000,250,0.984,65.839,70.351,-99993.188,-100029.892,500000,OFF,1062.8,Oil,-100029.892,-100029.892,123.713,0.225
7/16/2020,8:08:10,32.2,Draw 1,OFF,,0,OFF,0,24.28,23.843,0.003,0,25817.171,4.259,4671.222,0,30488.393,4.259,28.828,3.027,2.992,28.766,1.59,122.401,123.938,0,0,0,1369,57.678,123.532,67.709,123.874,124.01,123.92,123.325,122.196,117.083,68.101,29.194,10.811,0,0.008,0,1081.612,5000,250,0.984,65.854,70.297,-99997.37,-100034.066,500000,OFF,1062.8,Oil,-100034.066,-100034.066,123.642,0.296
7/16/2020,8:08:11,33.8,Burner Changed,ON,,1,OFF,0,24.284,23.847,0.007,0,25821.429,8.517,4671.222,0,30492.651,8.517,28.909,3.03,2.995,28.846,1.67,122.207,123.938,0,0,0,1369,57.673,123.542,67.709,123.865,123.821,123.755,123.31,121.939,116.55,68.103,29.194,9.578,4.211,0.008,0,1081.612,5000,250,0.981,65.869,70.284,-99992.498,-100029.211,500000,OFF,1062.8,Oil,-100029.211,-100029.211,123.602,0.336
7/16/2020,8:08:13,35.2,Draw 1,ON,,1,OFF,0,24.304,23.867,0.027,0,25842.656,29.744,4671.222,0,30513.878,29.744,28.98,3.034,2.999,28.916,1.74,122.006,123.938,0,0,0,1369,57.659,123.548,67.709,123.863,123.692,123.714,123.379,121.709,115.681,68.1,29.194,9.51,4.015,0.008,0,1081.612,5000,250,0.981,65.889,70.275,-99993.209,-100029.904,500000,OFF,1062.8,Oil,-100029.904,-100029.904,123.557,0.381
7/16/2020,8:08:16,38.2,Draw 1,ON,,1,OFF,0,24.34,23.902,0.062,0,25880.859,67.947,4671.222,0,30552.081,67.947,29.132,3.032,2.997,29.066,1.89,121.777,123.938,0,0,0,1369,57.68,123.558,67.711,123.839,123.548,123.717,123.568,121.841,114.15,68.098,29.194,9.491,4.001,0.008,0,1081.612,5000,250,0.981,65.878,70.288,-99994.749,-100031.481,500000,OFF,1062.8,Oil,-100031.481,-100031.481,123.455,0.483
7/16/2020,8:08:19,41.2,Draw 1,ON,,1,OFF,0,24.368,23.93,0.09,0,25910.572,97.66,4671.222,0,30581.794,97.66,29.283,3.026,2.991,29.216,2.04,121.677,123.938,0,0,0,1369,57.676,123.576,67.713,123.87,123.639,123.796,122.962,121.591,114.203,68.1,29.194,9.494,4.003,0.008,0,1081.612,5000,250,0.981,65.9,70.272,-99996.214,-100032.892,500000,OFF,1062.8,Oil,-100032.892,-100032.892,123.347,0.591
7/16/2020,8:08:22,44.2,Draw 1,ON,,1,OFF,0,24.404,23.965,0.125,0,25948.775,135.863,4671.222,0,30619.997,135.863,29.435,3.031,2.996,29.366,2.19,121.337,123.938,0,0,0,1369,57.673,123.587,67.713,123.834,123.662,123.606,122.77,121.166,112.987,68.099,29.194,9.492,3.993,0.008,0,1081.612,5000,250,0.981,65.914,70.268,-99993.495,-100030.178,500000,OFF,1062.8,Oil,-100030.178,-100030.178,123.227,0.711
7/16/2020,8:08:25,47.2,Draw 1,ON,,1,OFF,0,24.44,24,0.16,0,25986.978,174.066,4671.222,0,30658.2,174.066,29.586,3.027,2.992,29.515,2.339,121.047,123.938,0,0,0,1369,57.672,123.599,67.71,123.836,123.702,123.596,122.599,121.052,111.495,68.098,29.194,9.489,3.993,0.008,0,1081.612,5000,250,0.981,65.928,70.258,-99995.194,-100031.912,500000,OFF,1062.8,Oil,-100031.912,-100031.912,123.092,0.846
7/16/2020,8:08:28,50.2,Draw 1,ON,,1,OFF,0,24.468,24.028,0.188,0,26016.691,203.779,4671.222,0,30687.913,203.779,29.738,3.031,2.996,29.665,2.489,121.028,123.938,0,0,0,1369,57.688,123.603,67.702,123.858,123.689,123.45,122.928,121.62,110.624,68.097,29.194,9.486,3.993,0.008,0,1081.612,5000,250,0.981,65.916,70.266,-99995.193,-100031.87,500000,OFF,1062.8,Oil,-100031.87,-100031.87,122.951,0.987
7/16/2020,8:08:31,53.2,Draw 1,ON,,1,OFF,0,24.504,24.063,0.223,0,26054.893,241.981,4671.222,0,30726.115,241.981,29.889,3.031,2.996,29.815,2.639,120.774,123.938,0,0,0,1369,57.691,123.606,67.694,123.852,123.703,123.236,122.937,120.882,110.035,68.096,29.194,9.485,3.994,0.008,0,1081.612,5000,250,0.981,65.915,70.26,-99994.091,-100030.752,500000,OFF,1062.8,Oil,-100030.752,-100030.752,122.801,1.137
7/16/2020,8:08:34,56.2,Draw 1,ON,,1,OFF,0,24.544,24.102,0.262,0,26097.34,284.428,4671.222,0,30768.562,284.428,30.041,3.034,2.999,29.965,2.789,120.776,123.938,0,0,0,1369,57.666,123.616,67.687,123.865,123.708,123.242,123.118,121.825,108.897,68.095,29.194,9.482,3.997,0.008,0,1081.612,5000,250,0.981,65.95,70.264,-99993.382,-100030.068,500000,OFF,1062.8,Oil,-100030.068,-100030.068,122.645,1.293
7/16/2020,8:08:37,59.2,Draw 1,ON,,1,OFF,0,24.572,24.13,0.29,0,26127.053,314.141,4671.222,0,30798.275,314.141,30.193,3.034,2.999,30.115,2.939,120.881,123.938,0,0,0,1369,57.683,123.633,67.683,123.856,123.753,123.342,123.644,122.314,108.376,68.094,29.194,9.482,3.982,0.008,0,1081.612,5000,250,0.981,65.95,70.269,-99993.968,-100030.609,500000,OFF,1062.8,Oil,-100030.609,-100030.609,122.493,1.445
7/16/2020,8:08:38,60.2,1 min data,ON,,1,OFF,0,24.584,24.142,0.302,0,26139.787,326.875,4671.222,0,30811.009,326.875,30.243,3.031,2.996,30.165,2.989,120.935,123.938,0,0,0,1369,57.669,123.636,67.682,123.875,123.762,123.384,123.902,122.378,108.31,68.097,29.194,9.483,3.992,0.008,0,1081.612,5000,250,0.981,65.966,70.264,-99997.106,-100033.766,500000,OFF,1062.8,Oil,-100033.766,-100033.766,122.444,1.494
7/16/2020,8:08:40,62.2,Draw 1,ON,,1,OFF,0,24.604,24.161,0.321,0,26161.01,348.098,4671.222,0,30832.232,348.098,30.344,3.031,2.996,30.265,3.089,120.838,123.938,0,0,0,1369,57.676,123.642,67.685,123.856,123.752,123.484,123.863,122.411,107.661,68.095,29.194,9.484,3.993,0.008,0,1081.612,5000,250,0.981,65.967,70.25,-99995.429,-100032.171,500000,OFF,1062.8,Oil,-100032.171,-100032.171,122.344,1.594
7/16/2020,8:08:43,65.2,Draw 1,ON,,1,OFF,0,24.648,24.205,0.365,0,26207.702,394.79,4671.222,0,30878.924,394.79,30.496,3.032,2.997,30.414,3.238,120.567,123.938,0,0,0,1369,57.684,123.651,67.688,123.872,123.911,123.554,123.472,121.944,106.647,68.095,29.194,9.484,3.981,0.008,0,1081.612,5000,250,0.981,65.967,70.242,-99994.182,-100030.85,500000,OFF,1062.8,Oil,-100030.85,-100030.85,122.185,1.753
7/16/2020,8:08:46,68.2,Draw 1,ON,,1,OFF,0,24.68,24.236,0.396,0,26241.66,428.748,4671.222,0,30912.882,428.748,30.647,3.033,2.998,30.564,3.388,120.434,123.938,0,0,0,1369,57.682,123.662,67.692,123.876,124.009,123.432,123.16,121.439,106.686,68.092,29.194,9.483,3.988,0.008,0,1081.612,5000,250,0.981,65.98,70.237,-99997.023,-100033.615,500000,OFF,1062.8,Oil,-100033.615,-100033.615,122.018,1.92
7/16/2020,8:08:49,71.2,Draw 1,ON,,1,OFF,0,24.708,24.263,0.423,0,26271.373,458.461,4671.222,0,30942.595,458.461,30.799,3.034,2.999,30.714,3.538,120.132,123.938,0,0,0,1369,57.663,123.701,67.694,123.876,124.057,123.366,123.256,120.194,106.044,68.092,29.194,9.484,3.987,0.008,0,1081.612,5000,250,0.981,66.038,70.215,-99997.011,-100033.727,500000,OFF,1062.8,Oil,-100033.727,-100033.727,121.837,2.101
7/16/2020,8:08:52,74.2,Draw 1,ON,,1,OFF,0,24.744,24.299,0.459,0,26309.575,496.663,4671.222,0,30980.797,496.663,30.951,3.035,3,30.864,3.688,120.159,123.938,0,0,0,1369,57.674,123.745,67.699,123.856,124.147,123.894,122.942,120.655,105.46,68.092,29.194,9.485,3.994,0.008,0,1081.612,5000,250,0.981,66.07,70.225,-99996.718,-100033.423,500000,OFF,1062.8,Oil,-100033.423,-100033.423,121.651,2.287
7/16/2020,8:08:55,77.2,Draw 1,ON,,1,OFF,0,24.784,24.338,0.498,0,26352.023,539.111,4671.222,0,31023.245,539.111,31.103,3.035,3,31.014,3.838,120.136,123.938,0,0,0,1369,57.674,123.816,67.698,123.865,124.169,123.966,122.462,121.351,105.005,68.092,29.194,9.485,3.982,0.008,0,1081.612,5000,250,0.981,66.142,70.24,-99994.01,-100030.633,500000,OFF,1062.8,Oil,-100030.633,-100030.633,121.472,2.466
7/16/2020,8:08:58,80.2,Draw 1,ON,,1,OFF,0,24.812,24.365,0.525,0,26381.736,568.824,4671.222,0,31052.958,568.824,31.254,3.031,2.996,31.164,3.988,119.834,123.938,0,0,0,1369,57.675,123.844,67.7,123.866,124.302,123.891,122.672,120.066,104.208,68.091,29.194,9.486,3.981,0.008,0,1081.612,5000,250,0.981,66.169,70.232,-99996.755,-100033.419,500000,OFF,1062.8,Oil,-100033.419,-100033.419,121.299,2.639
7/16/2020,8:09:01,83.2,Draw 1,ON,,1,OFF,0,24.844,24.397,0.557,0,26415.694,602.782,4671.222,0,31086.916,602.782,31.406,3.031,2.996,31.314,4.138,119.581,123.938,0,0,0,1369,57.676,123.973,67.699,123.844,124.37,123.774,122.959,118.629,103.911,68.09,29.194,9.487,3.987,0.008,0,1081.612,5000,250,0.981,66.297,70.237,-99994.626,-100031.295,500000,OFF,1062.8,Oil,-100031.295,-100031.295,121.119,2.819
7/16/2020,8:09:04,86.2,Draw 1,ON,,1,OFF,0,24.884,24.436,0.596,0,26458.142,645.23,4671.222,0,31129.364,645.23,31.558,3.035,3,31.464,4.288,119.406,123.938,0,0,0,1369,57.661,123.987,67.703,123.873,124.54,123.793,122.86,117.546,103.823,68.091,29.194,9.487,3.991,0.008,0,1081.612,5000,250,0.981,66.326,70.243,-99996.479,-100033.166,500000,OFF,1062.8,Oil,-100033.166,-100033.166,120.944,2.994
7/16/2020,8:09:07,89.2,Draw 1,ON,,1,OFF,0,24.912,24.464,0.624,0,26487.855,674.943,4671.222,0,31159.077,674.943,31.709,3.031,2.995,31.614,4.438,119.193,123.938,0,0,0,1369,57.672,123.977,67.706,123.893,124.668,123.753,123.056,116.275,103.512,68.09,29.194,9.486,3.988,0.008,0,1081.612,5000,250,0.981,66.305,70.252,-99995.766,-100032.459,500000,OFF,1062.8,Oil,-100032.459,-100032.459,120.778,3.16
7/16/2020,8:09:10,92.2,Draw 1,ON,,1,OFF,0,24.944,24.495,0.655,0,26521.813,708.901,4671.222,0,31193.035,708.901,31.861,3.031,2.996,31.764,4.588,119.148,123.938,0,0,0,1369,57.669,123.942,67.711,123.949,124.767,123.725,123.19,115.816,103.44,68.089,29.194,9.486,3.988,0.008,0,1081.612,5000,250,0.981,66.273,70.264,-99997.309,-100033.91,500000,OFF,1062.8,Oil,-100033.91,-100033.91,120.616,3.322
7/16/2020,8:09:13,95.2,Draw 1,ON,,1,OFF,0,24.988,24.538,0.698,0,26568.506,755.594,4671.222,0,31239.728,755.594,32.012,3.027,2.992,31.913,4.737,118.672,123.938,0,0,0,1369,57.687,123.855,67.71,123.976,124.719,123.755,123.118,113.378,103.086,68.087,29.194,9.485,3.989,0.008,0,1081.612,5000,250,0.981,66.168,70.265,-99998.509,-100035.075,500000,OFF,1062.8,Oil,-100035.075,-100035.075,120.448,3.49
7/16/2020,8:09:16,98.2,Draw 1,ON,,1,OFF,0,25.02,24.569,0.729,0,26602.464,789.552,4671.222,0,31273.686,789.552,32.164,3.031,2.996,32.063,4.887,118.004,123.938,0,0,0,1369,57.673,123.843,67.708,123.979,124.646,123.779,122.641,110.957,102.02,68.09,29.194,9.483,3.992,0.008,0,1081.612,5000,250,0.981,66.17,70.27,-99995.839,-100032.496,500000,OFF,1062.8,Oil,-100032.496,-100032.496,120.269,3.669
7/16/2020,8:09:19,101.2,Draw 1,ON,,1,OFF,0,25.048,24.597,0.757,0,26632.177,819.265,4671.222,0,31303.399,819.265,32.315,3.027,2.992,32.212,5.036,117.918,123.938,0,0,0,1369,57.675,123.902,67.709,124.081,124.681,123.769,123.016,110.807,101.154,68.089,29.194,9.483,3.977,0.008,0,1081.612,5000,250,0.981,66.227,70.27,-99995.677,-100032.301,500000,OFF,1062.8,Oil,-100032.301,-100032.301,120.081,3.857
7/16/2020,8:09:22,104.2,Draw 1,ON,,1,OFF,0,25.088,24.636,0.796,0,26674.624,861.712,4671.222,0,31345.846,861.712,32.466,3.031,2.996,32.362,5.186,117.871,123.938,0,0,0,1369,57.683,123.96,67.708,124.089,124.65,123.717,123.213,110.748,100.813,68.089,29.194,9.483,3.977,0.008,0,1081.612,5000,250,0.981,66.278,70.263,-99997.841,-100034.429,500000,OFF,1062.8,Oil,-100034.429,-100034.429,119.901,4.037
7/16/2020,8:09:25,107.2,Draw 1,ON,,1,OFF,0,25.124,24.672,0.832,0,26712.827,899.915,4671.222,0,31384.049,899.915,32.618,3.027,2.992,32.512,5.336,117.977,123.938,0,0,0,1369,57.677,124.065,67.713,124.096,124.763,123.951,123.311,111.126,100.616,68.087,29.194,9.482,3.994,0.008,0,1081.612,5000,250,0.981,66.389,70.276,-99996.417,-100032.964,500000,OFF,1062.8,Oil,-100032.964,-100032.964,119.74,4.198
7/16/2020,8:09:28,110.2,Draw 1,ON,,1,OFF,0,25.152,24.699,0.859,0,26742.54,929.628,4671.222,0,31413.762,929.628,32.769,3.027,2.992,32.661,5.485,117.697,123.938,0,0,0,1369,57.688,124.091,67.716,124.091,124.96,123.98,123.046,110.479,99.624,68.088,29.194,9.482,3.987,0.008,0,1081.612,5000,250,0.981,66.403,70.275,-99997.731,-100034.297,500000,OFF,1062.8,Oil,-100034.297,-100034.297,119.579,4.359
7/16/2020,8:09:31,113.2,Draw 1,ON,,1,OFF,0,25.184,24.73,0.89,0,26776.498,963.586,4671.222,0,31447.72,963.586,32.92,3.027,2.992,32.811,5.635,117.417,123.938,0,0,0,1369,57.669,124.103,67.717,124.09,124.88,123.992,123.143,109.241,99.158,68.088,29.194,9.482,3.984,0.008,0,1081.612,5000,250,0.981,66.434,70.274,-99998.909,-100035.579,500000,OFF,1062.8,Oil,-100035.579,-100035.579,119.412,4.526
7/16/2020,8:09:34,116.2,Draw 1,ON,,1,OFF,0,25.224,24.77,0.93,0,26818.946,1006.034,4671.222,0,31490.168,1006.034,33.072,3.027,2.992,32.961,5.785,117.142,123.938,0,0,0,1369,57.676,124.248,67.716,124.285,124.747,123.749,123.094,108.146,98.83,68.088,29.194,9.482,3.981,0.008,0,1081.612,5000,250,0.981,66.572,70.289,-99996.238,-100032.918,500000,OFF,1062.8,Oil,-100032.918,-100032.918,119.238,4.7
7/16/2020,8:09:37,119.2,Draw 1,ON,,1,OFF,0,25.252,24.797,0.957,0,26848.659,1035.747,4671.222,0,31519.881,1035.747,33.223,3.024,2.988,33.11,5.934,116.931,123.938,0,0,0,1369,57.668,124.361,67.718,124.366,124.691,123.498,122.984,107.563,98.486,68.088,29.194,9.483,3.985,0.008,0,1081.612,5000,250,0.981,66.694,70.291,-99998.099,-100034.71,500000,OFF,1062.8,Oil,-100034.71,-100034.71,119.05,4.888
7/16/2020,8:09:38,120.2,1 min data,ON,,1,OFF,0,25.264,24.809,0.969,0,26861.393,1048.481,4671.222,0,31532.615,1048.481,33.273,3.024,2.988,33.16,5.984,116.881,123.938,0,0,0,1369,57.684,124.396,67.719,124.369,124.658,123.491,122.963,107.386,98.418,68.088,29.194,9.481,3.986,0.008,0,1081.612,5000,250,0.981,66.712,70.296,-99997.617,-100034.196,500000,OFF,1062.8,Oil,-100034.196,-100034.196,118.984,4.954
7/16/2020,8:09:40,122.2,Draw 1,ON,,1,OFF,0,25.284,24.828,0.988,0,26882.617,1069.705,4671.222,0,31553.839,1069.705,33.374,3.027,2.992,33.26,6.084,116.801,123.938,0,0,0,1369,57.701,124.537,67.717,124.364,124.637,123.629,122.898,106.929,98.349,68.086,29.194,9.482,3.984,0.008,0,1081.612,5000,250,0.981,66.836,70.294,-99998.648,-100035.209,500000,OFF,1062.8,Oil,-100035.209,-100035.209,118.85,5.088
7/16/2020,8:09:43,125.2,Draw 1,ON,,1,OFF,0,25.328,24.872,1.032,0,26929.309,1116.397,4671.222,0,31600.531,1116.397,33.526,3.03,2.995,33.409,6.233,116.323,123.938,0,0,0,1369,57.68,124.561,67.718,124.349,124.528,123.67,122.824,104.783,97.781,68.087,29.194,9.481,3.988,0.008,0,1081.612,5000,250,0.981,66.881,70.3,-99996.805,-100033.427,500000,OFF,1062.8,Oil,-100033.427,-100033.427,118.642,5.296
7/16/2020,8:09:46,128.2,Draw 1,ON,,1,OFF,0,25.356,24.899,1.059,0,26959.022,1146.11,4671.222,0,31630.244,1146.11,33.677,3.027,2.991,33.559,6.383,115.919,123.938,0,0,0,1369,57.668,124.557,67.715,124.344,124.356,123.602,122.775,102.963,97.471,68.087,29.194,9.481,3.983,0.008,0,1081.612,5000,250,0.981,66.889,70.316,-99996.044,-100032.492,500000,OFF,1062.8,Oil,-100032.492,-100032.492,118.42,5.518
7/16/2020,8:09:49,131.2,Draw 1,ON,,1,OFF,0,25.384,24.927,1.087,0,26988.735,1175.823,4671.222,0,31659.957,1175.823,33.829,3.023,2.988,33.708,6.532,115.838,123.938,0,0,0,1369,57.69,124.597,67.713,124.312,124.273,123.754,123.058,102.954,96.679,68.086,29.194,9.481,3.984,0.008,0,1081.612,5000,250,0.981,66.907,70.32,-99996.236,-100032.793,500000,OFF,1062.8,Oil,-100032.793,-100032.793,118.203,5.735
7/16/2020,8:09:52,134.2,Draw 1,ON,,1,OFF,0,25.424,24.966,1.126,0,27031.182,1218.27,4671.222,0,31702.404,1218.27,33.98,3.027,2.992,33.858,6.682,115.642,123.938,0,0,0,1369,57.683,124.574,67.716,124.314,124.084,123.903,123.054,102.628,95.868,68.085,29.194,9.481,3.98,0.008,0,1081.612,5000,250,0.981,66.891,70.328,-99997.063,-100033.672,500000,OFF,1062.8,Oil,-100033.672,-100033.672,117.985,5.953
7/16/2020,8:09:55,137.2,Draw 1,ON,,1,OFF,0,25.456,24.997,1.157,0,27065.14,1252.228,4671.222,0,31736.362,1252.228,34.131,3.025,2.989,34.007,6.831,115.55,123.938,0,0,0,1369,57.682,124.553,67.718,124.312,124.061,123.753,122.944,102.545,95.686,68.087,29.194,9.479,3.98,0.008,0,1081.612,5000,250,0.981,66.871,70.322,-99995.826,-100032.414,500000,OFF,1062.8,Oil,-100032.414,-100032.414,117.755,6.183
