Voltage (Volts) - Mean,0.027049,0.030000,0.030000,0.027296,0.030000,0.027493,0.030000,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Standard Deviation,0.008936,NaN,NaN,0.008594,NaN,0.008304,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Variance,0.000080,NaN,NaN,0.000074,NaN,0.000069,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Max,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltage (Volts) - Min,0.000000,0.030000,0.030000,0.000000,0.030000,0.000000,0.030000,0.030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Mean,NaN,166.666667,166.666667,NaN,133.333333,NaN,133.333333,133.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Standard Deviation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Variance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Max,Inf,166.666667,166.666667,Inf,133.333333,Inf,133.333333,133.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current (Amps) - Min,0.000000,166.666667,166.666667,0.000000,133.333333,0.000000,133.333333,133.333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Mean,3.047154,5.000000,5.000000,3.173709,4.000000,3.260910,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Standard Deviation,1.612594,NaN,NaN,1.713063,NaN,1.698524,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Variance,2.600460,NaN,NaN,2.934583,NaN,2.884983,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Max,6.000000,5.000000,5.000000,6.000000,4.000000,6.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power (Watts) - Min,0.000000,5.000000,5.000000,0.000000,4.000000,0.000000,4.000000,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Max,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WattHours - Min,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Mean,98.906965,80.527778,80.322222,101.481654,83.994444,101.817675,83.077778,82.766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Standard Deviation,11.462286,NaN,NaN,10.360227,NaN,10.368252,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Tree (AVG) - Variance,131.384009,NaN,NaN,107.334305,NaN,107.500658,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
